subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4401,25914,691,14,40.5211
20j_5m,instance_10.csv,3898,23716,698,14,40.1938
20j_5m,instance_2.csv,5334,36272,689,15,40.2168
20j_5m,instance_3.csv,4592,27328,678,16,40.5422
20j_5m,instance_4.csv,4837,31951,777,15,40.4824
20j_5m,instance_5.csv,4239,22700,655,13,40.6411
20j_5m,instance_6.csv,3524,21553,619,14,40.6339
20j_5m,instance_7.csv,4277,28324,814,15,40.171
20j_5m,instance_8.csv,4072,23892,627,14,40.2631
20j_5m,instance_9.csv,4559,32252,694,14,40.6174
