subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4440,23728,691,13,40.1537
20j_5m,instance_10.csv,3951,21791,621,14,40.1244
20j_5m,instance_2.csv,5389,35350,696,15,40.134
20j_5m,instance_3.csv,4697,27172,755,15,40.1489
20j_5m,instance_4.csv,4949,32607,650,16,40.1563
20j_5m,instance_5.csv,4309,23769,655,13,40.138
20j_5m,instance_6.csv,3508,22421,622,14,40.1516
20j_5m,instance_7.csv,4247,27611,812,16,40.1731
20j_5m,instance_8.csv,4101,23719,627,14,40.1404
20j_5m,instance_9.csv,4869,29564,749,15,40.1247
