subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5821,31252,691,15,40.1258
20j_5m,instance_10.csv,4950,24463,585,15,40.1791
20j_5m,instance_2.csv,6702,36708,670,16,40.2243
20j_5m,instance_3.csv,5737,32852,601,16,40.115
20j_5m,instance_4.csv,6671,41058,650,16,40.3384
20j_5m,instance_5.csv,6453,30985,655,14,40.1619
20j_5m,instance_6.csv,4950,28454,576,15,40.1835
20j_5m,instance_7.csv,5001,29932,527,14,40.3321
20j_5m,instance_8.csv,5863,37809,563,16,40.2169
20j_5m,instance_9.csv,5786,34663,639,16,40.3224
