subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4671,27852,691,13,0.0446
20j_5m,instance_10.csv,4450,28205,720,14,0.0468
20j_5m,instance_2.csv,5975,39129,880,15,0.0415
20j_5m,instance_3.csv,5769,35126,717,14,0.0427
20j_5m,instance_4.csv,5640,31651,889,14,0.0421
20j_5m,instance_5.csv,4615,25252,655,14,0.0465
20j_5m,instance_6.csv,4938,33978,688,14,0.0475
20j_5m,instance_7.csv,4469,30204,626,15,0.044
20j_5m,instance_8.csv,4166,24776,603,13,0.0509
20j_5m,instance_9.csv,5145,34897,781,15,0.0415
