subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5056,20314,874,13,0.0441
20j_5m,instance_10.csv,4687,21041,648,14,0.0426
20j_5m,instance_2.csv,6025,26983,934,15,0.0377
20j_5m,instance_3.csv,5651,27728,746,16,0.0467
20j_5m,instance_4.csv,6042,25431,989,15,0.0467
20j_5m,instance_5.csv,4610,20258,744,14,0.0452
20j_5m,instance_6.csv,5413,24595,992,14,0.0422
20j_5m,instance_7.csv,5367,25933,798,17,0.0462
20j_5m,instance_8.csv,5023,21669,802,13,0.0441
20j_5m,instance_9.csv,5769,26387,842,14,0.0397
