subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5430,24466,691,14,0.7735
20j_5m,instance_10.csv,6640,36200,585,16,0.7553
20j_5m,instance_2.csv,5904,29964,701,17,0.5516
20j_5m,instance_3.csv,5303,26972,606,15,0.7161
20j_5m,instance_4.csv,5571,34003,678,15,0.6249
20j_5m,instance_5.csv,4790,20057,655,14,0.5463
20j_5m,instance_6.csv,4126,25037,579,14,0.7311
20j_5m,instance_7.csv,5346,33560,552,16,0.628
20j_5m,instance_8.csv,5383,32993,602,16,0.6847
20j_5m,instance_9.csv,5997,36618,641,16,1.1966
