subdir,instance,TT,TWT,T_max,NT,time
50j_10m,instance_1.csv,40081,242775,1956,41,214.4934
50j_10m,instance_10.csv,40536,227671,1988,43,224.9639
50j_10m,instance_2.csv,36936,226360,1940,44,215.1694
50j_10m,instance_3.csv,35320,205367,1934,43,219.9499
50j_10m,instance_4.csv,39550,234024,2016,42,230.2068
50j_10m,instance_5.csv,39109,214706,2068,43,219.5229
50j_10m,instance_6.csv,39588,216163,2119,42,220.2945
50j_10m,instance_7.csv,41376,242287,2124,42,222.6025
50j_10m,instance_8.csv,40799,248399,2046,42,211.6907
50j_10m,instance_9.csv,40561,237035,1955,43,212.9211
