subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,6976,42184,1060,12,0.0322
20j_5m,instance_10.csv,6253,38024,991,12,0.031
20j_5m,instance_2.csv,7954,47768,1104,13,0.0313
20j_5m,instance_3.csv,8367,47185,1120,13,0.029
20j_5m,instance_4.csv,7532,40243,1163,11,0.0292
20j_5m,instance_5.csv,7365,38247,1119,11,0.029
20j_5m,instance_6.csv,8021,50302,1226,12,0.0282
20j_5m,instance_7.csv,6831,43786,1117,11,0.0289
20j_5m,instance_8.csv,6332,37059,955,11,0.0296
20j_5m,instance_9.csv,7147,38962,1014,13,0.0289
