subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5821,31252,691,15,0.0322
20j_5m,instance_10.csv,6534,37401,597,17,0.0307
20j_5m,instance_2.csv,6304,37654,726,17,0.0307
20j_5m,instance_3.csv,7337,45901,655,16,0.0278
20j_5m,instance_4.csv,6705,41403,651,16,0.0281
20j_5m,instance_5.csv,6453,30985,655,14,0.0307
20j_5m,instance_6.csv,5714,33878,601,17,0.0293
20j_5m,instance_7.csv,5067,32521,552,17,0.0283
20j_5m,instance_8.csv,4964,26916,649,16,0.0278
20j_5m,instance_9.csv,7408,49370,733,17,0.029
